SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,No,H4_Field,H4_Rank,H4_Source,Hisory_4,H3_Field,H3_Rank,H3_Source,History_3,H2_Field,H2_Rank,H2_Source,History_2,H1_Field,H1_Rank,H1_Source,History_1,Title_CORE_ORIG,ALL_UPER,Acro,Source,Rank_CORE_ORIG,Changed?,For,Column,MATCH,COMMENT
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/nlp,International Conference on Natural Language Processing,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON NATURAL LANGUAGE PROCESSING,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/poem,IFIP Working Conference on The Practice of Enterprise Modeling,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,,,,,,,,,,,,,,,,,,,IFIP WORKING CONFERENCE ON THE PRACTICE OF ENTERPRISE MODELING,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/pro-ve,Working Conference on Virtual Enterprises,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,,,,,,,,,,,,,,,,,,,WORKING CONFERENCE ON VIRTUAL ENTERPRISES,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ramics,International Conference on Relational and Algebraic Methods in Computer Science,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,,,,,,,,,,,,,,,,,,,INTERNATIONAL CONFERENCE ON RELATIONAL AND ALGEBRAIC METHODS IN COMPUTER SCIENCE,,,,,,,,match by name in spr
http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/vlsi-soc,IFIP/IEEE International Conference on Very Large Scale Integration - System on a Chip,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,,,,,,,,,,,,,,,,,,,IFIP/IEEE INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION - SYSTEM ON A CHIP,,,,,,,,match by name in spr
,,,,,92,,"

 Rank: A
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: A
||","

 Field Of Research: 1005 - Communications Technologies
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 1005 - Communications Technologies
","

 Field Of Research: 1005 - Communications Technologies
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 1005 - Communications Technologies
","

 Field Of Research: 1005 - Communications Technologies
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 1005 - Communications Technologies
",Advanced Video and Signal Based Surveillance,ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE,AVSS,CORE2014,B,Yes,1005,,,match by name in core
,,,,,1983,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||",Advanced Video and Signal Based Surveillance,ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE,AWOCA,CORE2014,B,No,,,,match by name in core
,,,,,273,,,,,"

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: Australasian
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: Australasian
||

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: Australasian
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Australasian
||

 Field Of Research: 0899 - Other Information and Computing Sciences
",Australian Women in IT Conference,AUSTRALIAN WOMEN IN IT CONFERENCE,OzWIT,CORE2014,Australasian,Yes,899,,,match by name in core
,,,,,1981,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: Australasian
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: Australasian
||",,"

 Rank: Australasian
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Australasian
||",Australian Women in IT Conference,AUSTRALIAN WOMEN IN IT CONFERENCE,AusWIT,CORE2014,Australasian,Yes,,,,match by name in core
,,,,,374,,,,,"

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
",Conference on Operations Research,CONFERENCE ON OPERATIONS RESEARCH,COR,CORE2014,C,No,802,,,match by name in core
,,,,,2031,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",Conference on Operations Research ,CONFERENCE ON OPERATIONS RESEARCH,GOR ,CORE2014,C,No,,,,match by name in core
,,,,,519,,,,,"

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Field Of Research: 0802 - Computation Theory and Mathematics
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0802 - Computation Theory and Mathematics
",European Workshop on Computational Geometry,EUROPEAN WORKSHOP ON COMPUTATIONAL GEOMETRY,EuroCG,CORE2014,C,No,802,,,match by name in core
,,,,,2024,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",European Workshop on Computational Geometry,EUROPEAN WORKSHOP ON COMPUTATIONAL GEOMETRY,EWCG,CORE2014,C,No,,,,match by name in core
,,,,,699,,,,,"

 Field Of Research: 0804 - Data Format
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0804 - Data Format
","

 Field Of Research: 0804 - Data Format
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0804 - Data Format
",IEEE International Symposium on Information Theory,IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY,ISIT,CORE2014,B,No,804,,,match by name in core
,,,,,2132,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",IEEE International Symposium on Information Theory ,IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY ,SInT ,CORE2014,C,No,,,,match by name in core
,,,,,737,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,IEEE CIBCB,CORE2014,C,No,801,,,match by name in core
,,,,,1991,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology ,IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,CIBCB,CORE2014,C,No,,,,match by name in core
,,,,,759,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: A
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: A
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: A
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: A
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: A
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: A
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",IEEE Visualization,IEEE VISUALIZATION,IEEE VIS,CORE2014,A,No,801,,,Match with one in core 
,,,,,2148,,,,,,"

 Rank: A
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: A
||",,"

 Rank: A
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: A
||",,"

 Rank: A
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: A
||",IEEE Visualization,IEEE VISUALIZATION,VIS,CORE2014,A,No,,,,Match with one in core 
,,,,,873,,,,,"

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
",International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,INTERNATIONAL CONFERENCE AND EXHIBITION ON HIGH PERFORMANCE COMPUTING IN THE ASIA-PACIFIC REGION,HPC Asia,CORE2014,B,No,805,,,match by name in core
,,,,,2034,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region ,INTERNATIONAL CONFERENCE AND EXHIBITION ON HIGH PERFORMANCE COMPUTING IN THE ASIA-PACIFIC REGION,HPC ,CORE2014,C,No,,,,match by name in core
,,,,,883,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||","

 Field Of Research: 0803 - Computer Software
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0803 - Computer Software
",International Conference of Z Users,INTERNATIONAL CONFERENCE OF Z USERS,ZUSER,CORE2014,C,No,803,,,match by name in core
,,,,,2157,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Conference of Z Users,INTERNATIONAL CONFERENCE OF Z USERS,ZUM,CORE2014,C,No,,,,match by name in core
,,,,,910,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",International Conference on Artificial Intelligence and Law,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW,ICAIL,CORE2014,C,Yes,801,,,match by name in core
,,,,,1962,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Conference on Artificial Intelligence and Law,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW,AIL,CORE2014,C,No,,,,match by name in core
