Sigla/ISSN,Título da publicação,Estrato,Tipo,SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME_UPPER,NAME_UPPER_ALL,MATCHING_CASE,COMMENT
CADE,INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cade,International Conference on Automated Deduction,INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,,
CAIP,INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/caip,International Conference on Computer Analysis of Images and Patterns,INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,,
CAV,INTERNATIONAL CONFERENCE ON COMPUTER AIDED VERIFICATION,A1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cav,International Conference on Computer Aided Verification,INTERNATIONAL CONFERENCE ON COMPUTER AIDED VERIFICATION,INTERNATIONAL CONFERENCE ON COMPUTER AIDED VERIFICATION,,
CC,INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cc,International Conference on Compiler Construction,INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,,
CIAA,INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/wia,International Conference on Implementation and Application of Automata,INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,,
CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,A1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cikm,International Conference on Information and Knowledge Management,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,,
CLOSER,INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/closer,International Conference on Cloud Computing and Services Science,INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE,INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE,,
CLOUD,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cloudcom,IEEE International Conference on Cloud Computing,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,by upper name,
COLLABORATECOM,"INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKING, APPLICATIONS AND WORKSHARING",B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/colcom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing","INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKING, APPLICATIONS AND WORKSHARING","INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKING, APPLICATIONS AND WORKSHARING",by upper name,
CP,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cp,International Conference on Principles and Practice of Constraint Programming,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,by upper name,
CSCWD,INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/cscwd,International Conference on Computer Supported Cooperative Work in Design,INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,by upper name,
CSEE,"INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE, ENVIRONMENT, ECOINFORMATICS, AND EDUCATION",B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/csee2,"International Conference on Computer Science, Environment, Ecoinformatics, and Education","INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE, ENVIRONMENT, ECOINFORMATICS, AND EDUCATION","INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE, ENVIRONMENT, ECOINFORMATICS, AND EDUCATION",by upper name,
DAIS,IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dais,IFIP International Conference on Distributed Applications and Interoperable Systems,IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS,IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS,by upper name,
DASFAA,INTERNATIONAL CONFERENCE ON DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dasfaa,International Conference on Database Systems for Advanced Applications,INTERNATIONAL CONFERENCE ON DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,INTERNATIONAL CONFERENCE ON DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,by upper name,
DAWAK,INTERNATIONAL CONFERENCE ON DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dawak,International Conference on Data Warehousing and Knowledge Discovery,INTERNATIONAL CONFERENCE ON DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,INTERNATIONAL CONFERENCE ON DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,by upper name,
DEXA,INTERNATIONAL CONFERENCE ON DATABASE AND EXPERT SYSTEMS APPLICATIONS,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dexa,International Conference on Database and Expert Systems Applications,INTERNATIONAL CONFERENCE ON DATABASE AND EXPERT SYSTEMS APPLICATIONS,INTERNATIONAL CONFERENCE ON DATABASE AND EXPERT SYSTEMS APPLICATIONS,by upper name,
DICTAP,INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS,B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dictap,International Conference on Digital Information and Communication Technology and Its Applications,INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS,INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS,by upper name,
DLT,INTERNATIONAL CONFERENCE ON DEVELOPMENTS IN LANGUAGE THEORY,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dlt,International Conference on Developments in Language Theory,INTERNATIONAL CONFERENCE ON DEVELOPMENTS IN LANGUAGE THEORY,INTERNATIONAL CONFERENCE ON DEVELOPMENTS IN LANGUAGE THEORY,by upper name,
DS,INTERNATIONAL CONFERENCE ON DISCOVERY SCIENCE,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/dis,International Conference on Discovery Science,INTERNATIONAL CONFERENCE ON DISCOVERY SCIENCE,INTERNATIONAL CONFERENCE ON DISCOVERY SCIENCE,by upper name,
EANN,INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/eann,International Conference on Engineering Applications of Neural Networks,INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,by upper name,
EDBT,INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/edbt,International Conference on Extending Database Technology,INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY,INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY,by upper name,
EKAW,INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ekaw,International Conference on Knowledge Engineering and Knowledge Management,INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,by upper name,
ENASE,INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/enase,International Conference on Evaluation of Novel Approaches to Software Engineering,INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,by upper name,
EPART,INTERNATIONAL CONFERENCE ON ELECTRONIC PARTICIPATION,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/epart,International Conference on Electronic Participation,INTERNATIONAL CONFERENCE ON ELECTRONIC PARTICIPATION,INTERNATIONAL CONFERENCE ON ELECTRONIC PARTICIPATION,by upper name,
ER,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/er,International Conference on Conceptual Modeling,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,by upper name,
FQAS,INTERNATIONAL CONFERENCE ON FLEXIBLE QUERY ANSWERING SYSTEMS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/fqas,International Conference on Flexible Query Answering Systems,INTERNATIONAL CONFERENCE ON FLEXIBLE QUERY ANSWERING SYSTEMS,INTERNATIONAL CONFERENCE ON FLEXIBLE QUERY ANSWERING SYSTEMS,by upper name,
FSKD,INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/fskd,International Conference on Fuzzy Systems and Knowledge Discovery,INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,by upper name,
GCC,INTERNATIONAL CONFERENCE ON GRID AND COOPERATIVE COMPUTING,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/gcc,International Conference on Grid and Cooperative Computing,INTERNATIONAL CONFERENCE ON GRID AND COOPERATIVE COMPUTING,INTERNATIONAL CONFERENCE ON GRID AND COOPERATIVE COMPUTING,by upper name,
GISCIENCE,INTERNATIONAL CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/giscience,International Conference on Geographic Information Science,INTERNATIONAL CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,INTERNATIONAL CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,by upper name,
GPCE,INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/gpce,International Conference on Generative Programming and Component Engineering,INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,by upper name,
HAIS,INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/hais,International Conference on Hybrid Artificial Intelligence Systems,INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,by upper name,
HIPC,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/supercomputing,International Conference on High Performance Computing,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,by upper name,
IAIT,INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY,B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iait,International Conference on Advances in Information Technology,INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY,INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY,by upper name,
ICA3PP,INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ica3pp,International Conference on Algorithms and Architectures for Parallel Processing,INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,by upper name,
ICAART,INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icaart,International Conference on Agents and Artificial Intelligence,INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,by upper name,
ICANN,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icann,International Conference on Artificial Neural Networks,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,by upper name,
ICB,INTERNATIONAL CONFERENCE ON BIOMETRICS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icb,International Conference on Biometrics,INTERNATIONAL CONFERENCE ON BIOMETRICS,INTERNATIONAL CONFERENCE ON BIOMETRICS,by upper name,
ICBBE,INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iwbbio,International Conference on Bioinformatics and Biomedical Engineering,INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING,INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING,by upper name,
ICCI,INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATION,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icci,International Conference on Computing and Information,INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATION,INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATION,by upper name,
ICCS,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE,A2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iccs-computsci,International Conference on Computational Science,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE,by upper name,
ICCS_A,INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iccs-conceptstruct,International Conference on Conceptual Structures,INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES,INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES,by upper name,
ICCSA,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iccsa,International Conference on Computational Science and Its Applications,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS,INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND ITS APPLICATIONS,by upper name,
ICDCIT,INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icdcit,International Conference on Distributed Computing and Internet Technology,INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY,INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY,by upper name,
ICDT,INTERNATIONAL CONFERENCE ON DATABASE THEORY,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icdt,International Conference on Database Theory,INTERNATIONAL CONFERENCE ON DATABASE THEORY,INTERNATIONAL CONFERENCE ON DATABASE THEORY,by upper name,
ICEC,INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icec,International Conference on Electronic Commerce,INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE,INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE,by upper name,
ICFCA,INTERNATIONAL CONFERENCE ON FORMAL CONCEPT ANALYSIS,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icfca,International Conference on Formal Concept Analysis,INTERNATIONAL CONFERENCE ON FORMAL CONCEPT ANALYSIS,INTERNATIONAL CONFERENCE ON FORMAL CONCEPT ANALYSIS,by upper name,
ICFEM,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icfem,International Conference on Formal Engineering Methods,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,by upper name,
ICGT,INTERNATIONAL CONFERENCE ON GRAPH TRANSFORMATION,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/gg,International Conference on Graph Transformation,INTERNATIONAL CONFERENCE ON GRAPH TRANSFORMATION,INTERNATIONAL CONFERENCE ON GRAPH TRANSFORMATION,by upper name,
ICHIT,INTERNATIONAL CONFERENCE ON HYBRID INFORMATION TECHNOLOGY,B2,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/ichit,International Conference on Hybrid Information Technology,INTERNATIONAL CONFERENCE ON HYBRID INFORMATION TECHNOLOGY,INTERNATIONAL CONFERENCE ON HYBRID INFORMATION TECHNOLOGY,by upper name,
ICIAP,INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING,B1,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iciap,International Conference on Image Analysis and Processing,INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING,INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING,by upper name,
ICICA,INTERNATIONAL CONFERENCE ON INFORMATION COMPUTING AND APPLICATIONS,B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icica,International Conference on Information Computing and Applications,INTERNATIONAL CONFERENCE ON INFORMATION COMPUTING AND APPLICATIONS,INTERNATIONAL CONFERENCE ON INFORMATION COMPUTING AND APPLICATIONS,by upper name,
ICIDS,INTERNATIONAL CONFERENCE ON INTERACTIVE DIGITAL STORYTELLING,B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icids,International Conference on Interactive Digital Storytelling,INTERNATIONAL CONFERENCE ON INTERACTIVE DIGITAL STORYTELLING,INTERNATIONAL CONFERENCE ON INTERACTIVE DIGITAL STORYTELLING,by upper name,
ICIG,INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS,B3,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icig,International Conference on Image and Graphics,INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS,INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS,by upper name,
ICIRA,INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTICS AND APPLICATIONS,B4,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/icira,International Conference on Intelligent Robotics and Applications,INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTICS AND APPLICATIONS,INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTICS AND APPLICATIONS,by upper name,
ICISO,INTERNATIONAL CONFERENCE ON INFORMATICS AND SEMIOTICS IN ORGANISATIONS,B5,Conferência,http://lod.springer.com/data/ontology/property/confSeriesName,http://lod.springer.com/data/confseries/iciso,International Conference on Informatics and Semiotics in Organisations,INTERNATIONAL CONFERENCE ON INFORMATICS AND SEMIOTICS IN ORGANISATIONS,INTERNATIONAL CONFERENCE ON INFORMATICS AND SEMIOTICS IN ORGANISATIONS,by upper name,
