ASE,IEEE/ACM INTERNATIONAL CONFERENCE ON AUTOMATED SOFTWARE ENGINEERING,A1,Conferência
ASIACRYPT,INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOLOGY AND INFORMATION SECURITY,A1,Conferência
ASONAM,INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORK ANALYSIS AND MINING,B4,Conferência
ASPLOS,INTERNATIONAL CONFERENCE ON ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS,A1,Conferência
AVBPA,INTERNATIONAL CONFERENCE ON AUDIO - AND VIDEO - BASED BIOMETRIC PERSON,A2,Conferência
BAIP,INTERNATIONAL CONFERENCE ON RECENT TRENDS IN BUSINESS ADMINISTRATION AND INFORMATION PROCESSING,B4,Conferência
BASYS,IEEE/IFIP INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY FOR BALANCED AUTOMATION SYSTEMS,B4,Conferência
BC,IFIP INTERNATIONAL CONFERENCE ON BROADBAND COMMUNICATIONS,B4,Conferência
BCB,ACM INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,B4,Conferência
BIBM,IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE,B4,Conferência
BIBMW,IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE WORKSHOP,B4,Conferência
BICA,ANNUAL INTERNATIONAL CONFERENCE ON BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,B4,Conferência
BIOCOMP,INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,B4,Conferência
BIODEVICES,INTERNATIONAL CONFERENCE ON BIOMEDICAL ELECTRONICS AND DEVICES,B4,Conferência
BIOINFORMATICS,"INTERNATIONAL CONFERENCE ON BIOINFORMATICS MODELS, METHODS AND ALGORITHMS",B5,Conferência
BIOSIGNALS,INTERNATIONAL CONFERENCE ON BIO - INSPIRED SYSTEMS AND SIGNAL PROCESSING,B4,Conferência
BIOTECHNO,"INTERNATIONAL CONFERENCE ON BIOINFORMATICS, BIOCOMPUTATIONAL SYSTEMS AND BIOTECHNOLOGIES",B5,Conferência
BIR,INTERNATIONAL CONFERENCE ON PERSPECTIVES IN BUSINESS INFORMATICS RESEARCH,B4,Conferência
BIS,INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS,B2,Conferência
BMEI,INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING AND INFORMATICS,B4,Conferência
BPMDS,"INTERNATIONAL CONFERENCE ON BUSINESS PROCESS MODELING, DEVELOPMENT, AND SUPPORT",B3,Conferência
BROADNETS,INTERNATIONAL CONFERENCE ON BROADBAND COMMUNICATIONS NETWORKS AND SYSTEMS,B1,Conferência
BTAS,"IEEE INTERNATIONAL CONFERENCE ON BIOMETRICS: THEORY, APPLICATIONS AND SYSTEMS",B2,Conferência
C&T,INTERNATIONAL CONFERENCE ON COMMUNITIES AND TECHNOLOGIES,B5,Conferência
C5,INTERNATIONAL CONFERENCE ON CREATING CONNECTING AND COLLABORATING THROUGH COMPUTING,B3,Conferência
CADE,INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,A2,Conferência
CAINE,ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING,B4,Conferência
CAIP,INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,B2,Conferência
CAISE,INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING,A2,Conferência
CASCON,ANNUAL INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND SOFTWARE ENGINEERING,B1,Conferência
CASES,"INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS",A2,Conferência
CASON,INTERNATIONAL CONFERENCE ON COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS,B4,Conferência
CATA,INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS,B3,Conferência
CATE,IASTED INTERNATIONAL CONFERENCE ON COMPUTERS AND ADVANCED TECHNOLOGY IN EDUCATION,B4,Conferência
CAV,INTERNATIONAL CONFERENCE ON COMPUTER AIDED VERIFICATION,A1,Conferência
CC,INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,A2,Conferência
CCA,IEEE INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS,B3,Conferência
CCA_A,INTERNATIONAL CONFERENCE ON COMPUTABILITY AND COMPLEXITY IN ANALYSIS,B3,Conferência
CCCT,"INTERNATIONAL CONFERENCE ON COMPUTER, COMMUNICATION AND CONTROL TECHNOLOGIES",B4,Conferência
CCO,INTERNATIONAL CONFERENCE ON COOPERATIVE CONTROL AND OPTIMIZATION,B4,Conferência
CEA,INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND APPLICATIONS,B4,Conferência
CEAS,INTERNATIONAL CONFERENCE ON EMAIL AND ANTI - SPAM,B1,Conferência
CENTERIS,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,B3,Conferência
CF,ACM INTERNATIONAL CONFERENCE ON COMPUTING FRONTIERS,B1,Conferência
CGIM,INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS AND IMAGING,B4,Conferência
CGIV,"INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS, IMAGING AND VISUALIZATION",B3,Conferência
CIAA,INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,B3,Conferência
CIC,INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN COMPUTING,B3,Conferência
CIKM,INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,A1,Conferência
CIMCA,INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE FOR MODELLING CONTROL AND AUTOMATION,B2,Conferência
CIMSA,IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE FOR MEASUREMENT SYSTEMS AND APPLICATIONS,B4,Conferência
CIMSIM,"INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE, MODELLING AND SIMULATION",B4,Conferência
CIRAS,INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE ROBOTICS AND AUTONOMOUS SYSTEMS,B4,Conferência
CIS,INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY,B3,Conferência
CISIS,INTERNATIONAL CONFERENCE ON COMPLEX INTELLIGENT AND SOFTWARE INTENSIVE SYSTEMS,B3,Conferência
CISW,INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY WORKSHOPS,B4,Conferência
CIT,INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION TECHNOLOGY,B1,Conferência
CITA,INTERNATIONAL CONFERENCE ON IT IN ASIA,B5,Conferência
CLA,INTERNATIONAL CONFERENCE ON CONCEPT LATTICES AND THEIR APPLICATIONS,B4,Conferência
CLOSER,INTERNATIONAL CONFERENCE ON CLOUD COMPUTING AND SERVICES SCIENCE,B4,Conferência
CLOUD,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING,B2,Conferência
CLOUDCOM,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING TECHNOLOGY AND SCIENCE,B2,Conferência
CMC,INTERNATIONAL CONFERENCE ON COMMUNICATIONS AND MOBILE COMPUTING,B4,Conferência
CMV,INTERNATIONAL CONFERENCE ON COORDINATED AND MULTIPLE VIEWS IN EXPLORATORY VISUALIZATION,B2,Conferência
CNSM,INTERNATIONAL CONFERENCE ON NETWORK AND SERVICES MANAGEMENT,B4,Conferência
CODES+ISSS,INTERNATIONAL CONFERENCE ON HARDWARE/SOFTWARE CODESIGN AND SYSTEM SYNTHESIS,A2,Conferência
COLING,INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS,A1,Conferência
COLLABORATECOM,"INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKING, APPLICATIONS AND WORKSHARING",B3,Conferência
COMPSYSTECH,INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND TECHNOLOGIES,B3,Conferência
COMSWARE,ICST INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEM SOFTWARE AND MIDDLEWARE,B2,Conferência
CONCUR,INTERNATIONAL CONFERENCE ON CONCURRENCY THEORY,A2,Conferência
CONEXT,ACM INTERNATIONAL CONFERENCE ON EMERGING NETWORKING EXPERIMENTS AND TECHNOLOGIES,B1,Conferência
CONFENIS,IFIP INTERNATIONAL CONFERENCE ON RESEARCH AND PRACTICAL ISSUES OF ENTERPRISE INFORMATION SYSTEMS,B4,Conferência
CONF - IRM,INTERNATIONAL CONFERENCE ON INFORMATION RESOURCES MANAGEMENT,B4,Conferência
CONQUEST,CONQUEST INTERNATIONAL CONFERENCE ON QUALITY ENGINEERING IN SOFTWARE TECHNOLOGY,B5,Conferência
CONTECSI,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGY MANAGEMENT,B4,Conferência
COOP,INTERNATIONAL CONFERENCE ON THE DESIGN OF COOPERATIVE SYSTEMS,B3,Conferência
COOPIS,INTERNATIONAL CONFERENCE ON COOPERATIVE INFORMATION SYSTEMS,B1,Conferência
CP,INTERNATIONAL CONFERENCE ON PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING,A2,Conferência
CROWNCOM,INTERNATIONAL CONFERENCE ON COGNITIVE RADIO ORIENTED WIRELESS NETWORKS AND COMMUNICATIONS,B1,Conferência
CSC,INTERNATIONAL CONFERENCE ON SCIENTIFIC COMPUTING,B4,Conferência
CSCL,INTERNATIONAL CONFERENCE ON COMPUTER - SUPPORTED COLLABORATIVE LEARNING,B1,Conferência
CSCWD,INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,B2,Conferência
CSEE,"INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE, ENVIRONMENT, ECOINFORMATICS, AND EDUCATION",B5,Conferência
CSREA_EEE,"INTERNATIONAL CONFERENCE ON E - LEARNING, E - BUSINESS, ENTERPRISE INFORMATION SYSTEMS, & E - GOVERNMENT",B4,Conferência
CYBERGAMES,INTERNATIONAL CONFERENCE ON GAMES RESEARCH AND DEVELOPMENT,B5,Conferência
DAFX,INTERNATIONAL CONFERENCE ON DIGITAL AUDIO EFFECTS,B2,Conferência
DAIS,IFIP INTERNATIONAL CONFERENCE ON DISTRIBUTED APPLICATIONS AND INTEROPERABLE SYSTEMS,B2,Conferência
DASFAA,INTERNATIONAL CONFERENCE ON DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,B1,Conferência
DAWAK,INTERNATIONAL CONFERENCE ON DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,B1,Conferência
DBKDA,"INTERNATIONAL CONFERENCE ON ADVANCES IN DATABASES, KNOWLEDGE, AND DATA APPLICATIONS",B4,Conferência
DCAI,INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE,B4,Conferência
DEBS,INTERNATIONAL CONFERENCE ON DISTRIBUTED EVENT - BASED SYSTEMS,B2,Conferência
DEPCOS - RELCOMEX,INTERNATIONAL CONFERENCE ON DEPENDABILITY OF COMPUTER SYSTEMS,B3,Conferência
DEPEND,INTERNATIONAL CONFERENCE ON DEPENDABILITY,B4,Conferência
DEXA,INTERNATIONAL CONFERENCE ON DATABASE AND EXPERT SYSTEMS APPLICATIONS,B1,Conferência
DGO,INTERNATIONAL CONFERENCE ON DIGITAL GOVERNMENT RESEARCH,B1,Conferência
DICTAP,INTERNATIONAL CONFERENCE ON DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS,B5,Conferência
DIGITEL,IEEE INTERNATIONAL CONFERENCE ON DIGITAL GAME AND INTELLIGENT TOY ENHANCED LEARNING,B3,Conferência
DIMVA,GI INTERNATIONAL CONFERENCE ON DETECTION OF INTRUSIONS AND MALWARE AND VULNERABILITY ASESSMENT,B1,Conferência
DLT,INTERNATIONAL CONFERENCE ON DEVELOPMENTS IN LANGUAGE THEORY,B2,Conferência
DMTCS,INTERNATIONAL CONFERENCE ON DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,B2,Conferência
DS,INTERNATIONAL CONFERENCE ON DISCOVERY SCIENCE,B1,Conferência
DSDE,INTERNATIONAL CONFERENCE ON DATA STORAGE AND DATA ENGINEERING,B4,Conferência
DSN,INTERNATIONAL CONFERENCE ON DEPENDABLE SYSTEMS AND NETWORKS,A1,Conferência
DSP,INTERNATIONAL CONFERENCE ON DIGITAL SIGNAL PROCESSING,A2,Conferência
DSS,IFIP INTERNATIONAL CONFERENCE ON DECISION SUPPORT SYSTEMS,B4,Conferência
E - ACTIVITIES,INTERNATIONAL CONFERENCE ON E - ACTIVITIES,B4,Conferência
EANN,INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,B4,Conferência
EASE,INTERNATIONAL CONFERENCE ON EVALUATION AND ASSESSMENT IN SOFTWARE ENGINEERING,B4,Conferência
ECWEB,INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE AND WEB TECHNOLOGY,B1,Conferência
EDBT,INTERNATIONAL CONFERENCE ON EXTENDING DATABASE TECHNOLOGY,A2,Conferência
EDM,INTERNATIONAL CONFERENCE ON EDUCATIONAL DATA MINING,B3,Conferência
EDUTAINMENT,INTERNATIONAL CONFERENCE ON E - LEARNING AND GAMES,B3,Conferência
EEE,IEEE INTERNATIONAL CONFERENCE ON E - TECHNOLOGY E - COMMERCE AND E - SERVICE,B1,Conferência
EISWT,INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS AND WEB TECHNOLOGIES,B4,Conferência
EIT,IEEE INTERNATIONAL CONFERENCE ON ELECTRO/INFORMATION TECHNOLOGY,B4,Conferência
EKAW,INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,B1,Conferência
EKNOW,"INTERNATIONAL CONFERENCE ON INFORMATION, PROCESS, AND KNOWLEDGE MANAGEMENT",B4,Conferência
E - LEARNING,IADIS INTERNATIONAL CONFERENCE ON E - LEARNING,B4,Conferência
ELML,"INTERNATIONAL CONFERENCE ON MOBILE, HYBRID, AND ON - LINE LEARNING",B4,Conferência
EMO,INTERNATIONAL CONFERENCE ON EVOLUTIONARY MULTI - CRITERION OPTIMIZATION,A2,Conferência
ENASE,INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,B4,Conferência
ENGOPT,INTERNATIONAL CONFERENCE ON ENGINEERING OPTIMIZATION,B4,Conferência
ENTER,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM,B2,Conferência
EPART,INTERNATIONAL CONFERENCE ON ELECTRONIC PARTICIPATION,B4,Conferência
EPIROB,INTERNATIONAL CONFERENCE ON EPIGENETIC ROBOTICS,B4,Conferência
ER,INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,A2,Conferência
ERSA,INTERNATIONAL CONFERENCE ON ENGINEERING OF RECONFIGURABLE SYSTEMS AND ALGORITHMS,B3,Conferência
ESCIENCE,IEEE INTERNATIONAL CONFERENCE ON E - SCIENCE AND GRID COMPUTING,B1,Conferência
ETELEMED,"INTERNATIONAL CONFERENCE ON EHEALTH, TELEMEDICINE, AND SOCIAL MEDICINE",B4,Conferência
ETFA,IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION,B1,Conferência
ETHICOMP,INTERNATIONAL CONFERENCE ON THE SOCIAL AND ETHICAL IMPACTS OF INFORMATION AND COMMUNICATION TECHNOLOGIES,B4,Conferência
EUC,IFIP INTERNATIONAL CONFERENCE ON EMBEDDED AND UBIQUITOUS COMPUTING,B2,Conferência
EUROCON,"THE INTERNATIONAL CONFERENCE ON ""COMPUTER AS A TOOL""",B3,Conferência
EUROCRYPT,INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOGRAPHIC TECHNIQUES,A1,Conferência
EUROIMSA,IASTED INTERNATIONAL CONFERENCE ON INTERNET AND MULTIMEDIA SYSTEMS AND APPLICATIONS,B4,Conferência
FCS,INTERNATIONAL CONFERENCE ON FOUNDATIONS OF COMPUTER SCIENCE,B4,Conferência
FECS,INTERNATIONAL CONFERENCE ON FRONTIERS IN EDUCATION: COMPUTER SCIENCE AND COMPUTER ENGINEERING,B4,Conferência
FG,INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION,A1,Conferência
FGCN,INTERNATIONAL CONFERENCE ON FUTURE GENERATION COMMUNICATION AND NETWORKING,B3,Conferência
FMOODS,INTERNATIONAL CONFERENCE ON FORMAL METHODS FOR OPEN OBJECT - BASED DISTRIBUTED SYSTEMS,B1,Conferência
FOIS,INTERNATIONAL CONFERENCE ON FORMAL ONTOLOGY IN INFORMATION SYSTEMS,B1,Conferência
FORMATS,INTERNATIONAL CONFERENCE ON FORMAL MODELLING AND ANALYSIS OF TIMED SYSTEMS,B1,Conferência
FORTE,IFIP WG 6.1 INTERNATIONAL CONFERENCE ON FORMAL METHODS FOR NETWORKED AND DISTRIBUTED SYSTEMS,B1,Conferência
FPL,INTERNATIONAL CONFERENCE ON FIELD - PROGRAMMABLE LOGIC AND APPLICATIONS,A2,Conferência
FPSAC,INTERNATIONAL CONFERENCE ON FORMAL POWER SERIES AND ALGEBRAIC COMBINATORICS,B4,Conferência
FQAS,INTERNATIONAL CONFERENCE ON FLEXIBLE QUERY ANSWERING SYSTEMS,B2,Conferência
FSKD,INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,B2,Conferência
FUSION,INTERNATIONAL CONFERENCE ON INFORMATION FUSION,B1,Conferência
FUZZ,IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS,A2,Conferência
GADA,INTERNATIONAL CONFERENCE ON GRID COMPUTING HIGH - PERFORMANCE AND DISTRIBUTED APPLICATIONS,B5,Conferência
GCA,INTERNATIONAL CONFERENCE ON GRID COMPUTING AND APPLICATIONS,B4,Conferência
GCC,INTERNATIONAL CONFERENCE ON GRID AND COOPERATIVE COMPUTING,B2,Conferência
GEOCOMP,INTERNATIONAL CONFERENCE ON GEOCOMPUTATION,B3,Conferência
GEOPROCESSING,"INTERNATIONAL CONFERENCE ON ADVANCED GEOGRAPHIC INFORMATION SYSTEMS, APPLICATIONS, AND SERVICES",B4,Conferência
GEOS,INTERNATIONAL CONFERENCE ON GEOSPATIAL SEMANTICS,B3,Conferência
GISCIENCE,INTERNATIONAL CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,B1,Conferência
GPCE,INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,A2,Conferência
GRAPP,INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS THEORY AND APPLICATIONS,B4,Conferência
GREENCOM - CPSCOM,IEEE - ACM INTERNATIONAL CONFERENCE ON GREEN COMPUTING AND COMMUNICATIONS AND INTERNATIONAL CONFERENCE ON CYBER PHYSICAL AND SOCIAL COMPUTING,B4,Conferência
GRID,IEEE/ACM INTERNATIONAL CONFERENCE ON GRID COMPUTING,A2,Conferência
GROUP,INTERNATIONAL CONFERENCE ON SUPPORTING GROUP WORK,A2,Conferência
HAIS,INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,B4,Conferência
HCII,INTERNATIONAL CONFERENCE ON HUMAN - COMPUTER INTERACTION,B2,Conferência
HEALTHINF,INTERNATIONAL CONFERENCE ON HEALTH INFORMATICS,B4,Conferência
HICSS,ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES,A1,Conferência
HIPC,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,B1,Conferência
HIPEAC,INTERNATIONAL CONFERENCE ON HIGH - PERFORMANCE AND EMBEDDED ARCHITECTURES AND COMPILERS,B2,Conferência
HIS,INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS,B2,Conferência
HPCN,INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND NETWORKING,B3,Conferência
HRI,IEEE/ACM INTERNATIONAL CONFERENCE ON HUMAN ROBOT INTERACTION,A2,Conferência
HUMANOIDS,IEEE RAS INTERNATIONAL CONFERENCE ON HUMANOIDS ROBOTS,B2,Conferência
IAIT,INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY,B5,Conferência
IAT,ACM INTERNATIONAL CONFERENCE ON INTELLIGENT AGENT TECHNOLOGY,B1,Conferência
IAWTIC,INTERNATIONAL CONFERENCE ON INTELLIGENT AGENTS WEB TECHNOLOGIES AND INTERNET COMMERCE,B4,Conferência
IBICA,INTERNATIONAL CONFERENCE ON INNOVATIONS IN BIO - INSPIRED COMPUTING AND APPLICATIONS,B5,Conferência
ICA3PP,INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,B3,Conferência
ICAART,INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,B4,Conferência
ICAC,IEEE INTERNATIONAL CONFERENCE ON AUTONOMIC COMPUTING,A2,Conferência
ICAD,INTERNATIONAL CONFERENCE ON AUDITORY DISPLAY,B1,Conferência
ICAI,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,B2,Conferência
ICAIE,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND EDUCATION,B5,Conferência
ICAIL,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW,B1,Conferência
ICAIS,INTERNATIONAL CONFERENCE ON ADAPTIVE AND INTELLIGENT SYSTEMS,B3,Conferência
ICAISC,INTERNATIONAL CONFERENCE ON ARTIFICAL INTELLIGENCE AND SOFT COMPUTING,B2,Conferência
ICAL,IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS,B4,Conferência
ICALIP,"INTERNATIONAL CONFERENCE ON AUDIO, LANGUAGE AND IMAGE PROCESSING",B4,Conferência
ICALT,IEEE INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES,B1,Conferência
ICANN,INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,B1,Conferência
ICAPS,INTERNATIONAL CONFERENCE ON AUTOMATED PLANNING AND SCHEDULING,A2,Conferência
ICAR,INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS,B2,Conferência
ICARCV,"INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION",B1,Conferência
ICAS,INTERNATIONAL CONFERENCE ON AUTONOMIC AND AUTONOMOUS SYSTEMS,B2,Conferência
ICASSP,"INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING",A1,Conferência
ICAT,INTERNATIONAL CONFERENCE ON ARTIFICIAL REALITY AND TELEXISTENCE,B3,Conferência
ICATPN,INTERNATIONAL CONFERENCE ON THE APPLICATION AND THEORY OF PETRI NETS,B1,Conferência
ICB,INTERNATIONAL CONFERENCE ON BIOMETRICS,B2,Conferência
